EmpNo,Job,Date,HW
2586,131121,2011-01-27T00:00:00.000000000,22.61
2586,131121,2011-01-28T00:00:00.000000000,22.62
2586,131121,2011-01-31T00:00:00.000000000,27.47
2586,131121,2011-02-01T00:00:00.000000000,27.46
2586,131121,2011-02-02T00:00:00.000000000,27.46
2586,131121,2011-02-03T00:00:00.000000000,25.85
2586,131121,2011-02-04T00:00:00.000000000,22.61
2586,131121,2011-02-07T00:00:00.000000000,25.85
2586,131121,2011-02-08T00:00:00.000000000,25.85
2586,131121,2011-02-09T00:00:00.000000000,25.84
2586,131121,2011-02-10T00:00:00.000000000,22.61
2586,131121,2011-02-11T00:00:00.000000000,22.61
2586,131121,2011-02-14T00:00:00.000000000,25.85
2586,131121,2011-02-15T00:00:00.000000000,22.61
2586,131121,2011-02-16T00:00:00.000000000,22.61
2586,131121,2011-02-17T00:00:00.000000000,22.61
2586,131121,2011-02-18T00:00:00.000000000,22.61
2586,131121,2011-02-22T00:00:00.000000000,22.61
2586,131121,2011-02-23T00:00:00.000000000,22.61
2586,131121,2011-02-24T00:00:00.000000000,22.61
2586,131121,2011-02-25T00:00:00.000000000,22.61
2586,131121,2011-02-28T00:00:00.000000000,25.85
2586,131121,2011-03-01T00:00:00.000000000,22.61
2586,131121,2011-03-02T00:00:00.000000000,22.61
2586,131121,2011-03-03T00:00:00.000000000,22.61
2586,131121,2011-03-04T00:00:00.000000000,22.61
2586,131121,2011-03-07T00:00:00.000000000,25.84
2586,131121,2011-03-08T00:00:00.000000000,22.61
2586,131121,2011-03-09T00:00:00.000000000,22.61
2586,131121,2011-03-10T00:00:00.000000000,22.61
2586,131121,2011-03-11T00:00:00.000000000,22.61
2586,131121,2011-03-14T00:00:00.000000000,22.61
2586,131121,2011-03-15T00:00:00.000000000,22.62
2586,131121,2011-03-16T00:00:00.000000000,22.61
2586,131121,2011-03-17T00:00:00.000000000,22.61
2586,131121,2011-03-21T00:00:00.000000000,22.62
2586,131121,2011-03-22T00:00:00.000000000,22.61
2586,131121,2011-03-23T00:00:00.000000000,22.61
2586,131121,2011-03-24T00:00:00.000000000,25.85
2586,131121,2011-03-25T00:00:00.000000000,22.61
2586,131121,2011-03-28T00:00:00.000000000,22.61
2586,131121,2011-03-29T00:00:00.000000000,22.61
2586,131121,2011-03-30T00:00:00.000000000,22.61
2586,131121,2011-03-31T00:00:00.000000000,22.61
2586,131121,2011-04-04T00:00:00.000000000,22.61
2586,131121,2011-04-05T00:00:00.000000000,22.61
2586,131121,2011-04-06T00:00:00.000000000,22.61
2586,131121,2011-04-07T00:00:00.000000000,22.61
2586,131121,2011-04-08T00:00:00.000000000,22.61
2586,131121,2011-04-11T00:00:00.000000000,22.61
2586,131121,2011-04-12T00:00:00.000000000,22.61
2586,131121,2011-04-13T00:00:00.000000000,22.61
2586,131121,2011-04-14T00:00:00.000000000,22.61
2586,131121,2011-04-18T00:00:00.000000000,22.61
2586,131121,2011-04-19T00:00:00.000000000,22.61
2586,131121,2011-04-20T00:00:00.000000000,22.61
2586,131121,2011-04-21T00:00:00.000000000,22.61
2586,131121,2011-04-22T00:00:00.000000000,22.61
2586,131121,2011-04-25T00:00:00.000000000,22.61
2586,131121,2011-04-26T00:00:00.000000000,22.61
2586,131121,2011-04-27T00:00:00.000000000,22.61
2586,131121,2011-04-28T00:00:00.000000000,22.61
2586,131121,2011-05-02T00:00:00.000000000,22.61
2586,131121,2011-05-03T00:00:00.000000000,22.61
2586,131121,2011-05-04T00:00:00.000000000,22.61
2586,131121,2011-05-05T00:00:00.000000000,22.61
2586,131121,2011-05-06T00:00:00.000000000,22.61
2586,131121,2011-05-09T00:00:00.000000000,22.61
2586,131121,2011-05-10T00:00:00.000000000,22.61
2586,131121,2011-05-11T00:00:00.000000000,22.61
2586,131121,2011-05-12T00:00:00.000000000,22.61
2586,131121,2011-05-13T00:00:00.000000000,22.61
2586,131121,2011-05-16T00:00:00.000000000,22.61
2586,131121,2011-05-17T00:00:00.000000000,22.61
2586,131121,2011-05-18T00:00:00.000000000,22.61
2586,131121,2011-05-19T00:00:00.000000000,22.61
2586,131121,2011-05-20T00:00:00.000000000,22.61
2586,131121,2011-05-23T00:00:00.000000000,22.61
2586,131121,2011-05-24T00:00:00.000000000,22.61
2586,131121,2011-05-25T00:00:00.000000000,22.62
2586,131121,2011-05-26T00:00:00.000000000,22.61
2586,131121,2011-05-27T00:00:00.000000000,22.61
2586,131121,2011-05-31T00:00:00.000000000,22.61
2586,131121,2011-06-01T00:00:00.000000000,22.61
2586,131121,2011-06-02T00:00:00.000000000,22.61
2586,131121,2011-06-03T00:00:00.000000000,22.61
2586,131121,2011-06-06T00:00:00.000000000,22.61
2586,131121,2011-06-07T00:00:00.000000000,22.62
